,date,SNFT,SNPT,SPFT,SPPT,SNeFT,SNPT,LNFT,LNPT,LPFT,LPPT,LNeFT,LNePT,TAoYW,Open,High,Low,Close,Volume
295,2022-01-21,2,2,16,11,35,4,2,1,17,13,3,0,106,465040.0,466989.0,456623.0,458675.0,23.0
296,2022-01-22,1,0,13,19,27,2,4,1,23,16,3,1,110,459804.3333333333,463992.3333333333,452748.6666666667,458083.6666666667,27.666666666666668
297,2022-01-23,1,2,5,29,26,1,4,4,8,15,5,1,101,454568.6666666666,460995.6666666666,448874.3333333334,457492.3333333334,32.333333333333336
298,2022-01-24,8,2,19,9,26,0,7,5,17,18,8,0,119,449333.0,457999.0,445000.00000000006,456901.00000000006,37.0
299,2022-01-25,7,4,18,9,106,0,3,0,19,27,15,2,210,453012.0,464728.0,443402.0,461919.0,21.0
300,2022-01-26,5,3,12,14,62,0,5,3,22,12,5,1,144,466162.0,470770.0,460206.0,463652.0,20.0
301,2022-01-27,3,1,18,11,34,2,2,3,10,15,11,0,110,469000.0,473900.0,458201.0,461200.0,19.0
302,2022-01-28,1,2,19,33,58,2,3,3,18,19,4,0,162,462560.0,469880.0,456281.0,469880.0,20.0
303,2022-01-29,4,1,7,14,27,1,5,3,12,12,9,2,97,464261.6666666667,470166.3333333333,458237.6666666667,469855.0,22.0
304,2022-01-30,2,2,30,10,18,1,4,3,14,10,3,1,98,465963.3333333334,470452.6666666666,460194.3333333334,469830.0,24.0
305,2022-01-31,2,2,14,13,22,1,0,3,27,16,6,3,109,467665.00000000006,470739.0,462151.00000000006,469805.0,26.0
306,2022-02-01,3,3,13,25,34,1,4,1,21,19,7,1,132,469465.0,471888.0,465460.0,471184.0,19.0
307,2022-02-02,4,2,19,18,31,2,2,2,16,17,5,2,120,470620.0,480400.0,469001.0,479500.0,19.0
308,2022-02-03,1,3,57,23,24,5,3,3,22,21,7,2,171,478840.0,481029.0,472081.0,472536.0,16.0
309,2022-02-04,23,3,27,37,40,2,6,4,24,19,7,1,193,471990.0,476888.0,469101.0,473364.0,20.0
310,2022-02-05,4,3,27,7,27,3,4,1,9,13,2,1,101,472693.3333333333,477042.0,468818.3333333333,473876.0,20.0
311,2022-02-06,1,1,7,5,27,2,4,0,17,9,5,0,78,473396.6666666666,477196.0,468535.6666666666,474388.0,20.0
312,2022-02-07,2,10,11,37,26,1,3,4,20,14,6,2,136,474100.0,477350.0,468253.0,474900.0,20.0
313,2022-02-08,5,9,15,19,42,4,7,3,24,12,2,0,142,477670.0,484200.0,474112.0,482030.0,17.0
314,2022-02-09,2,1,12,24,33,0,3,0,23,26,2,0,126,485650.0,488400.0,482502.0,483900.0,18.0
315,2022-02-10,4,4,25,14,26,12,2,2,17,18,3,2,129,481000.0,483726.0,478000.0,480105.0,18.0
316,2022-02-11,4,3,25,15,40,3,6,5,20,18,9,0,148,481068.0,484850.0,476886.0,479370.0,16.0
317,2022-02-12,1,1,8,14,29,1,1,1,14,14,8,0,92,480448.0,483584.6666666667,474111.6666666667,477050.0,18.0
318,2022-02-13,0,7,6,6,22,1,3,2,12,9,3,1,72,479828.0,482319.3333333334,471337.3333333334,474730.0,20.0
319,2022-02-14,2,1,16,14,39,1,1,2,19,20,3,1,119,479208.0,481054.00000000006,468563.00000000006,472410.0,22.0
320,2022-02-15,10,6,35,42,101,2,17,8,34,24,14,1,294,475390.0,476980.0,472456.0,473980.0,15.0
321,2022-02-16,14,6,64,44,129,1,11,17,46,46,19,0,397,472983.0,475780.0,471401.0,474444.0,13.0
322,2022-02-17,41,8,62,78,147,7,19,20,52,49,12,1,496,474829.0,474829.0,469182.0,470655.0,14.0
323,2022-02-18,20,4,28,61,249,0,5,13,35,40,15,0,470,471528.0,473920.0,469091.0,472257.0,15.0
324,2022-02-19,3,5,15,26,40,1,3,3,35,22,4,1,158,471329.25,473805.0,468382.5,472047.25,17.25
325,2022-02-20,4,2,11,7,39,0,2,2,13,15,9,3,107,471130.5,473690.0,467674.0,471837.5,19.5
326,2022-02-21,5,1,13,28,39,0,2,3,19,19,5,0,134,470931.75,473575.0,466965.5,471627.75,21.75
327,2022-02-22,7,4,12,13,54,1,5,6,22,15,3,0,142,470733.0,473460.0,466257.0,471418.0,24.0
328,2022-02-23,9,1,15,12,44,3,0,0,20,18,12,0,134,474975.0,475989.0,464400.0,465515.0,17.0
329,2022-02-24,6,6,12,14,33,1,8,2,17,14,4,3,120,452928.0,463490.0,450000.0,462110.0,28.0
330,2022-02-25,5,3,17,16,89,2,5,3,19,9,4,0,172,467598.0,482579.0,465326.0,479345.0,22.0
331,2022-02-26,10,8,91,149,296,8,4,1,36,24,16,3,646,470632.0,482932.0,468194.0,478298.3333333333,22.666666666666668
332,2022-02-27,1,8,45,51,127,12,5,3,34,22,7,1,316,473666.0,483285.0,471062.0,477251.6666666666,23.333333333333336
333,2022-02-28,4,7,55,56,80,6,9,3,19,22,13,3,277,476700.0,483638.0,473930.0,476205.0,24.000000000000004
334,2022-03-01,3,3,20,25,43,1,3,2,23,21,7,0,151,482000.0,482151.0,470645.0,475879.0,18.0
335,2022-03-02,4,1,12,25,37,2,4,2,23,15,2,1,128,479175.0,488765.0,477091.0,486109.0,16.0
336,2022-03-03,6,1,16,19,45,2,3,2,16,18,10,0,138,490797.0,494420.0,485855.0,491245.0,19.0
337,2022-03-04,3,6,16,19,56,0,6,3,28,18,3,0,158,485375.0,488298.0,480341.0,487440.0,20.0
338,2022-03-05,5,5,26,26,106,89,3,6,24,24,8,0,322,487263.0,489551.6666666667,480523.3333333333,486469.0,21.33333333333333
339,2022-03-06,3,3,9,15,49,32,1,2,17,13,7,1,152,489151.0,490805.3333333334,480705.6666666666,485498.0,22.666666666666664
340,2022-03-07,6,2,13,27,89,11,6,4,26,24,14,1,223,491039.0,492059.00000000006,480888.0,484527.0,24.0
341,2022-03-08,3,3,11,21,49,2,6,1,23,23,6,2,150,486690.0,491500.0,476921.0,478025.0,20.0
342,2022-03-09,2,3,11,24,35,3,7,1,24,18,13,0,141,491339.0,491550.0,484184.0,488245.0,17.0
343,2022-03-10,3,1,22,26,23,2,2,3,11,7,11,0,111,484252.0,490800.0,482520.0,487820.0,16.0
344,2022-03-11,3,2,17,20,40,1,2,6,30,21,9,0,151,490155.0,497333.0,488551.0,489802.0,18.0
345,2022-03-12,8,4,11,13,65,17,9,2,27,18,8,2,184,491432.6666666667,498229.6666666667,489683.0,491129.6666666667,21.666666666666668
346,2022-03-13,1,0,10,30,36,1,6,1,23,11,3,1,123,492710.3333333334,499126.3333333334,490815.0,492457.3333333334,25.333333333333336
347,2022-03-14,5,2,19,38,69,2,5,2,27,18,5,1,193,493988.00000000006,500023.00000000006,491947.0,493785.00000000006,29.000000000000004
348,2022-03-15,11,5,31,33,106,3,8,2,34,20,10,1,264,498673.0,501939.0,494023.0,498160.0,26.0
349,2022-03-16,3,1,29,27,125,3,5,3,24,19,11,0,250,502201.0,506029.0,497613.0,504036.0,25.0
350,2022-03-17,10,3,32,51,214,13,10,4,29,52,16,2,436,505385.0,518438.0,503641.0,518438.0,29.0
351,2022-03-18,12,4,24,22,84,4,3,6,24,23,9,3,218,515731.0,520654.0,508853.0,512991.0,35.0
352,2022-03-19,2,1,10,26,40,0,5,1,22,16,3,0,126,516231.0,522680.3333333333,511225.3333333333,516994.0,34.333333333333336
353,2022-03-20,1,1,9,16,21,1,0,0,8,19,4,1,81,516731.0,524706.6666666666,513597.6666666666,520997.0,33.66666666666667
354,2022-03-21,10,3,44,89,523,4,7,4,46,47,32,3,812,517231.0,526733.0,515970.0,525000.0,33.00000000000001
355,2022-03-22,9,13,34,48,90,0,10,2,40,23,7,4,280,526201.0,532530.0,523500.0,525854.0,37.0
356,2022-03-23,3,4,22,24,59,1,5,3,25,35,8,2,191,523066.0,528015.0,519151.0,521781.0,30.0
357,2022-03-24,6,2,11,12,43,1,6,0,20,18,4,3,126,528414.0,528817.0,523778.0,528817.0,21.0
358,2022-03-25,6,4,34,38,58,1,3,2,29,19,8,2,204,531088.0,538949.0,529981.0,538949.0,26.0
359,2022-03-26,5,3,21,23,38,2,3,2,17,17,6,0,137,534363.0,540632.6666666666,531102.3333333334,539026.0,30.0
360,2022-03-27,4,3,14,59,25,1,4,3,20,14,3,1,151,537638.0,542316.3333333333,532223.6666666667,539103.0,34.0
361,2022-03-28,0,2,21,31,37,3,3,1,19,24,6,0,147,540913.0,543999.9999999999,533345.0000000001,539180.0,38.0
362,2022-03-29,3,2,19,23,40,1,3,0,23,22,3,2,141,544389.0,544389.0,528750.0,532011.0,37.0
363,2022-03-30,4,4,33,22,33,0,4,1,17,16,8,0,142,531305.0,537371.0,527650.0,536440.0,23.0
364,2022-03-31,0,3,31,25,48,0,6,5,17,17,8,1,161,538660.0,540420.0,528921.0,528921.0,23.0
